City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sinabang,2.4803,96.3801,26.9,87,100,0.6,ID,1714943185
84,vilyuysk,63.7553,121.6247,2.78,85,100,4.47,RU,1714943255
85,iqaluit,63.7506,-68.5145,-3.15,79,100,5.66,CA,1714943163
86,keflavik,64.0049,-22.5624,4.24,81,40,8.23,IS,1714943197
87,atafu village,-8.5421,-172.5159,29.22,76,47,4.29,TK,1714943399
88,saint-philippe,-21.3585,55.7679,20.77,72,67,4.34,RE,1714943400
89,kuta,-8.7233,115.1723,25.97,94,40,1.54,ID,1714943400
90,ingeniero jacobacci,-41.3427,-69.5448,4.66,48,0,9.08,AR,1714943400
91,polyarnyy,69.1989,33.4478,-1.37,81,100,8.74,RU,1714943172
92,blackmans bay,-43.0167,147.3167,8.07,79,100,0.45,AU,1714943401
93,semdinli,37.3051,44.5742,12.02,76,72,1.98,TR,1714943401
94,anadyr,64.75,177.4833,-6.72,68,0,3.0,RU,1714943176
95,rio grande,-32.035,-52.0986,26.06,91,41,2.1,BR,1714943402
96,thompson,55.7435,-97.8558,5.41,78,100,2.62,CA,1714943402
97,vadso,70.0744,29.7487,-0.91,69,75,7.72,NO,1714943138
98,barcelos,41.5388,-8.6151,14.36,92,54,2.32,PT,1714943403
99,kimbe,-5.5502,150.1429,25.35,94,100,1.54,PG,1714943404
100,papar,5.7333,115.9333,26.0,88,32,1.47,MY,1714943404
101,tura,25.5198,90.2201,19.18,92,27,1.73,IN,1714943405
102,aral,40.5156,81.2636,22.02,17,32,4.38,CN,1714943405
103,hamilton,39.1834,-84.5333,26.47,62,40,4.12,US,1714943183
104,luderitz,-26.6481,15.1594,15.19,74,0,3.2,NA,1714943406
105,port alfred,-33.5906,26.891,19.86,69,17,4.77,ZA,1714943406
106,apolinario saravia,-24.4328,-63.9954,24.2,72,0,4.79,AR,1714943407
107,mana,5.6592,-53.7767,27.5,83,100,4.56,GF,1714943407
108,papatowai,-46.5619,169.4708,6.81,80,100,9.06,NZ,1714943407
109,sabang,5.8933,95.3214,29.82,71,100,1.36,ID,1714943408
110,dano,11.15,-3.0667,33.13,39,82,5.2,BF,1714943408
111,kutum,14.2,24.6667,25.67,15,4,3.47,SD,1714943408
112,abepura,-2.6333,140.5833,24.45,100,40,1.03,ID,1714943118
113,hithadhoo,-0.6,73.0833,29.45,76,100,6.3,MV,1714943409
114,fort mcmurray,56.7268,-111.381,16.93,30,100,3.76,CA,1714943223
115,nova sintra,14.8667,-24.7167,24.0,79,0,4.11,CV,1714943409
116,kamaishi,39.2667,141.8833,16.51,67,100,1.47,JP,1714943410
117,opuwo,-18.0607,13.84,20.4,31,0,3.05,NA,1714943410
118,nizhneudinsk,54.9076,99.0276,10.58,76,100,2.66,RU,1714943133
119,ilulissat,69.2167,-51.1,-5.99,86,100,3.09,GL,1714943411
120,port saint john's,-31.6229,29.5448,20.45,85,1,2.38,ZA,1714943411
121,stanley,54.868,-1.6985,12.51,92,75,2.57,GB,1714943412
122,urangan,-25.3,152.9,19.82,87,4,5.14,AU,1714943412
123,mili,6.0815,171.735,28.24,82,88,8.37,MH,1714943412
124,al jawf,29.5,38.75,20.48,34,0,9.42,SA,1714943413
125,tanout,14.9709,8.8879,32.89,13,0,4.96,NE,1714943413
126,fujin,47.26,132.0322,9.03,47,100,6.82,CN,1714943413
127,kangding,30.0513,101.9603,8.13,89,94,0.19,CN,1714943414
128,tazovsky,67.4667,78.7,-6.89,89,100,6.44,RU,1714943207
129,safi,32.1667,-8.8333,18.57,67,99,8.52,MA,1714943414
130,el granada,37.5027,-122.4694,18.58,60,0,9.77,US,1714943415
131,flin flon,54.7682,-101.865,14.91,33,40,3.09,CA,1714943140
132,chegdomyn,51.1167,133.0167,1.74,83,0,0.42,RU,1714943415
133,bethel,41.3712,-73.414,10.2,88,100,2.06,US,1714943415
134,sol'-iletsk,51.1631,54.9918,4.65,54,0,3.96,RU,1714943416
135,arraial do cabo,-22.9661,-42.0278,24.92,88,0,7.72,BR,1714943416
136,novotitarovskaya,45.2356,38.9792,7.17,92,0,2.89,RU,1714943416
137,maintirano,-18.0667,44.0167,26.16,83,2,3.67,MG,1714943417
138,gadzhiyevo,69.2551,33.3362,-1.15,80,100,8.98,RU,1714943417
139,hilo,19.7297,-155.09,25.71,86,100,0.89,US,1714943210
140,silver city,32.7701,-108.2803,25.38,13,0,6.71,US,1714943418
141,jibia,13.0978,7.2225,33.61,11,0,3.14,NG,1714943418
142,ust-nera,64.5667,143.2,0.86,83,100,1.23,RU,1714943418
143,amos,48.5669,-78.1162,13.44,68,94,5.46,CA,1714943419
144,bijar,35.8668,47.6051,8.53,59,44,7.51,IR,1714943419
145,biltine,14.5333,20.9167,32.14,11,0,3.48,TD,1714943145
146,huarmey,-10.0681,-78.1522,21.97,79,20,4.11,PE,1714943420
147,zhezqazghan,47.7833,67.7667,8.14,37,92,5.79,KZ,1714943225
148,ghanzi,-21.5667,21.7833,17.57,40,0,1.78,BW,1714943420
149,kristiansund,63.1115,7.732,10.36,66,0,1.03,NO,1714943420
150,port lincoln,-34.7333,135.8667,13.95,85,0,4.25,AU,1714943421
151,corralillo,22.9819,-80.5856,27.88,67,25,8.95,CU,1714943421
152,kluang,2.0251,103.3328,24.59,95,21,0.26,MY,1714943422
153,oyem,1.5995,11.5793,23.32,84,44,1.2,GA,1714943422
154,grootfontein,-19.5667,18.1167,15.89,38,0,1.95,NA,1714943422
155,qaqortoq,60.7167,-46.0333,0.7,63,0,1.13,GL,1714943423
156,boda,4.3189,17.4695,29.16,36,73,1.73,CF,1714943423
157,enewetak,11.3474,162.3373,27.91,71,99,7.29,MH,1714943423
158,xai-xai,-25.0519,33.6442,19.76,81,0,3.57,MZ,1714943170
159,chernyakhovsk,54.6335,21.8156,11.97,97,100,1.3,RU,1714943424
160,arkadak,51.9326,43.4978,6.25,91,94,3.42,RU,1714943424
161,talnakh,69.4865,88.3972,-13.22,78,19,1.61,RU,1714943425
162,regina,50.4501,-104.6178,19.06,31,75,10.29,CA,1714943174
163,daugavgriva,57.0432,24.0361,11.66,69,20,3.09,LV,1714943425
164,laguna,38.421,-121.4238,18.75,44,20,4.12,US,1714943425
165,port blair,11.6667,92.75,28.98,75,75,2.16,IN,1714943426
166,ostersund,63.1792,14.6357,4.25,60,40,8.23,SE,1714943426
167,gusinoozyorsk,51.2833,106.5,8.42,63,16,2.51,RU,1714943427
168,nalut,30.3333,10.85,24.9,17,0,8.59,LY,1714943427
169,dunedin,-45.8742,170.5036,7.11,86,100,4.02,NZ,1714943428
170,puerto ayora,-0.7393,-90.3518,27.98,94,100,1.79,EC,1714943428
171,ola,59.5833,151.2833,0.08,83,26,1.55,RU,1714943129
172,chipinge,-20.1883,32.6236,14.09,68,4,1.52,ZW,1714943428
173,st. john's,47.5649,-52.7093,5.38,80,34,1.79,CA,1714943429
174,mount isa,-20.7333,139.5,17.87,39,72,4.63,AU,1714943429
175,antofagasta,-23.65,-70.4,17.27,78,7,3.44,CL,1714943429
176,inhambane,-23.865,35.3833,21.31,77,0,1.98,MZ,1714943179
177,queenstown,-31.8976,26.8753,15.56,36,0,3.41,ZA,1714943247
178,fort st. john,56.2499,-120.8529,14.83,38,32,2.67,CA,1714943430
179,sitka,57.0531,-135.33,6.94,81,100,2.06,US,1714943431
180,laascaanood,8.4774,47.3597,27.61,63,74,4.47,SO,1714943431
181,kasongo-lunda,-6.4667,16.8167,23.53,65,92,0.95,CD,1714943431
182,vuktyl,63.8567,57.3094,-4.38,96,76,1.34,RU,1714943432
183,amga,60.8953,131.9608,3.46,82,6,1.32,RU,1714943432
184,daru,-9.0763,143.2092,26.42,88,100,7.58,PG,1714943432
185,paipa,5.7801,-73.1171,11.29,93,100,2.02,CO,1714943433
186,invercargill,-46.4,168.35,7.23,77,100,5.36,NZ,1714943167
187,vilyuchinsk,52.9306,158.4028,2.15,74,68,1.01,RU,1714943433
188,okha,53.5739,142.9478,-0.42,80,11,3.13,RU,1714943433
189,wokha,26.1,94.2667,12.7,96,93,1.54,IN,1714943434
190,san felipe,10.3399,-68.7425,26.62,78,100,0.94,VE,1714943434
191,callaway,30.153,-85.5699,29.99,63,9,2.68,US,1714943434
192,santanyi,39.3546,3.1291,19.34,72,100,3.77,ES,1714943435
193,bereket,39.2446,55.5154,22.54,51,50,3.38,TM,1714943435
194,shenjiamen,29.9576,122.298,16.91,93,92,3.63,CN,1714943436
195,crane,31.3974,-102.3501,26.42,54,99,3.89,US,1714943436
196,mournies,35.4764,24.0092,17.68,88,20,1.54,GR,1714943436
197,dwarka,22.2394,68.9678,27.3,83,0,4.67,IN,1714943437
198,sonoita,31.85,-112.8333,28.55,22,30,7.12,MX,1714943437
199,labrador city,52.9463,-66.9114,11.77,52,100,6.26,CA,1714943437
200,flying fish cove,-10.4217,105.6791,25.82,83,75,5.14,CX,1714943438
201,namibe,-15.1961,12.1522,22.9,76,2,1.61,AO,1714943438
202,kodiak,57.79,-152.4072,6.73,70,75,5.66,US,1714943438
203,chui,-33.6971,-53.4616,20.22,95,100,1.58,UY,1714943439
204,lebu,-37.6167,-73.65,11.31,64,57,5.11,CL,1714943189
205,semey,50.4111,80.2275,11.2,83,100,8.47,KZ,1714943439
206,kushiro,42.975,144.3747,6.93,96,100,1.65,JP,1714943440
207,kavaratti,10.5669,72.642,29.31,70,22,3.69,IN,1714943218
208,yellowknife,62.456,-114.3525,12.45,61,89,5.36,CA,1714943440
209,goundam,16.4145,-3.6708,35.19,10,50,4.89,ML,1714943440
210,ha giang,22.8333,104.9833,23.5,99,100,0.34,VN,1714943441
211,susuman,62.7833,148.1667,-2.79,86,99,0.89,RU,1714943441
212,kerikeri,-35.2268,173.9474,14.95,94,99,1.06,NZ,1714943402
213,kievka,50.2619,71.5514,3.65,62,0,2.65,KZ,1714943442
214,ouadda,8.0777,22.4007,24.68,25,55,1.29,CF,1714943442
215,irymple,-34.25,142.1667,7.83,87,0,3.86,AU,1714943442
216,labuan,5.2767,115.2417,27.92,76,26,1.65,MY,1714943443
217,vila velha,-20.3297,-40.2925,26.97,78,75,1.54,BR,1714943259
218,sao vicente,-23.9631,-46.3919,31.1,26,99,1.13,BR,1714943443
219,port shepstone,-30.7414,30.455,20.98,86,1,3.47,ZA,1714943444
220,castillos,-34.1667,-53.8333,19.0,97,100,0.82,UY,1714943444
221,mossel bay,-34.1831,22.146,15.89,72,11,2.16,ZA,1714943219
